id,category,requirement,expected,mandatory,proof_type,negative_mutation
S8A1R3-001,predecessor,Accepted Stage8A-0 source is exact,ref=c949d7f83aa87cf990204a5b8ae66e5ca37c9f1d,YES,descriptor_hash,forge predecessor
S8A1R3-002,predecessor,Accepted Stage8A-0 external review is exact,review_sha=574876211e0c896cc9d61f9f2d078059e54fd471a9b97e94a3c9c8c81930879b,YES,descriptor_hash,forge review hash
S8A1R3-003,governance,Stage8A-1 candidate cannot self-accept,independent acceptance remains false/pending,YES,descriptor,self accept
S8A1R3-004,governance,Stage8A-2 remains closed,No builder/mock-send/classifier/reconciliation scope is opened,YES,descriptor,open 8A-2
S8A1R3-005,capability,Stage8ExecutionCapability fields are private,No public fields,YES,compile_fail+source,public capability field
S8A1R3-006,capability,Capability is linear,No Clone/Copy,YES,compile_fail,derive Clone
S8A1R3-007,capability,Capability is non-debuggable,No raw Debug implementation,YES,compile_fail,derive Debug
S8A1R3-008,capability,Capability is non-serializable,No Serialize/Deserialize,YES,compile_fail,derive Serialize
S8A1R3-009,capability,Approved command cannot be extracted in 8A-1,No public/crate-private request extraction or consuming transport API,YES,source_scan,add into_request
S8A1R3-010,closed_surface,No request builder composition exists,No broker-finam PLACE/CANCEL builder use,YES,closed_surface,invoke builder
S8A1R3-011,closed_surface,No HTTP/Redis/send surface exists,No Stage8A-1 transport or live consumer,YES,closed_surface,add send/redis
S8A1R3-012,authority,Stage7B remains sole lifecycle authority,No Stage8 journal/reducer/ClientOrderId allocator/settlement owner,YES,source_scan,add Stage8 journal
S8A1R3-013,authority,Current Stage7B recovery-ready authority is required,Owner-mediated current Stage7B authority is reread/authenticated from disk and bound to exact dispatch-ready Stage6 request,YES,subprocess+type_boundary,mint without Stage7B owner
S8A1R3-014,authority,Current authenticated recovery seal is bound,Immediate on-disk seal reread/HMAC/equality and exact current checkpoint/dispatch binding; stale/delete/corrupt/different seal fails,YES,fault_matrix,use stale seal
S8A1R3-015,authority,Exact Stage6 durable request identity is required,Capability minting consumes/binds opaque exact durable request authority,YES,type_boundary,mint from raw command only
S8A1R3-016,identity,PLACE durable ClientOrderId is exact,Place client ID equals durable identity derived from StrategyRequestId,YES,unit,change client id
S8A1R3-017,identity,CANCEL durable identity is exact,Cancel durable command identity plus exact target broker/client IDs are bound,YES,unit,change cancel durable identity
S8A1R3-018,identity,Stage6 attribution is exact,strategy owner/cycle/action/role from durable identity is bound,YES,unit,change attribution
S8A1R3-019,readiness,Current composite readiness authority is bound,Production readiness issuer derives opaque authority from current composite readiness source; loss/generation drift blocks,YES,issuer_integration,mint without readiness
S8A1R3-020,authority,Raw public evidence cannot mint capability,Safety-critical minting inputs are opaque/non-constructible outside trusted issuer,YES,compile_fail,construct raw proof literal
S8A1R3-021,arm,Operator arm authority is opaque,Private fields/no public literal construction,YES,compile_fail,public arm fields
S8A1R3-022,arm,Operator arm authority is linear,No Clone/Copy/Serialize/Deserialize,YES,compile_fail,clone arm authority
S8A1R3-023,arm,Arm nonce is unique and bound,Trusted operator issuer owns arm identity; same durable request cannot receive a second arm/capability even with a different caller value,YES,issuer_integration,duplicate arm nonce
S8A1R3-024,arm,One arm mints at most one capability,Production-issued arm authority can mint at most one capability; duplicate issuance/use fails,YES,issuer_integration+compile_fail,reuse arm twice
S8A1R3-025,arm,Arm binds durable request ID,Exact StrategyRequestId match,YES,unit,change request id
S8A1R3-026,arm,Arm binds durable ClientOrderId,Exact stable client id match,YES,unit,change client id under same arm
S8A1R3-027,arm,Arm binds exact account/instrument/venue,All exact scope identities match,YES,unit,change venue symbol
S8A1R3-028,arm,Arm binds strategy owner/cycle/action,Structured attribution exact,YES,unit,change owner/cycle/action
S8A1R3-029,arm,Arm binds command kind/side/qty,"PLACE/CANCEL, side and quantity exact",YES,unit,change side or qty
S8A1R3-030,arm,Arm binds LIMIT price or MARKET reference guard,Exact limit price or exact reference-price guard digest,YES,unit,change price/reference guard
S8A1R3-031,arm,Arm binds notional/slippage/reference-age limits,Exact execution risk guard values/digest,YES,unit,widen risk guard
S8A1R3-032,arm,Arm binds build/config/endpoint-policy digests,All accepted digests exact,YES,unit,change endpoint-policy digest
S8A1R3-033,arm,Arm TTL is frozen and bounded,Caller cannot choose arbitrary max TTL,YES,policy_authority,widen arm TTL
S8A1R3-034,restart,Restart invalidates arm/capability authority,Current nonzero generation exact,YES,unit,reuse across restart
S8A1R3-035,config,Config drift invalidates authority,Current accepted config/policy digest exact,YES,unit,reuse across config drift
S8A1R3-036,policy,Execution policy is opaque/provenance-backed,Frozen policy is issued from an externally anchored accepted configuration authority; caller-created config+sidecar cannot define policy,YES,trust_root_integration,construct arbitrary policy authority
S8A1R3-037,policy,Exact account/instrument/strategy allowlist is bound,Deny by default exact entries,YES,unit,widen allowlist
S8A1R3-038,policy,MARKET/LIMIT and DAY only,No other order type/TIF,YES,unit+negative,allow non-DAY
S8A1R3-039,limits,All quantity/price limit fields are frozen,min_qty/qty_step/max_qty/price_step/max_market_qty exact,YES,unit,widen max qty
S8A1R3-040,limits,Notional limits are frozen,max_notional_per_order/run exact and present as accepted policy,YES,unit,remove notional limit
S8A1R3-041,limits,Slippage/reference freshness is frozen,max_limit_deviation_bps/max_reference_age_ms exact,YES,unit,widen reference age
S8A1R3-042,schedule,Trading-session/schedule eligibility is required,Current exact schedule authority says eligible; unknown/closed fails,YES,unit,ignore schedule
S8A1R3-043,kill_switch,Kill-switch authority is provenance-backed,Kill-switch proof derives from trusted persistent control authority bound to the accepted issuer root; caller-created RunAllowed file cannot authorize,YES,trust_root_integration,forge RunAllowed proof
